dimension,k,seed,significance_level,number_of_ot_points,number_of_monte_carlo_samples,hdr_log_volume,ot_log_volume,log_volume_ratio,log_volume_mc_standard_error,log_inclusion_fraction,log_bounding_box_volume,number_inside,number_of_source_region_points,mean_squared_transport_cost,ot_backend,regularization,solver_converged,sinkhorn_compute_backend
2,1.0,0,0.1,10000,10000,2.6719095116573017,2.6735453410098238,-0.0016358293525220446,0.00538506898825409,-0.254634218405581,2.9281795594154048,7752,9030,0.5397973932703501,lazy_exact,,True,
2,1.0,1,0.1,10000,10000,2.6719095116573017,2.6666405134184052,0.005268998238896483,0.006324333961453876,-0.33645223682121106,3.0030927502396163,7143,8968,0.5333450448982572,lazy_exact,,True,
2,1.0,2,0.1,10000,10000,2.6719095116573017,2.6631598931562657,0.00874961850103606,0.005961382910216624,-0.3040824938195623,2.967242386975828,7378,8995,0.531636311581468,lazy_exact,,True,
2,1.0,3,0.1,10000,10000,2.6719095116573017,2.687321791063297,-0.01541227940599521,0.006027657228980011,-0.30992768139910076,2.9972494724623977,7335,8970,0.5576698963278599,lazy_exact,,True,
2,1.0,4,0.1,10000,10000,2.6719095116573017,2.6874622291958934,-0.015552717538591665,0.005684200467641659,-0.2799784880667495,2.967440717262643,7558,8987,0.54877214352749,lazy_exact,,True,
2,1.0,5,0.1,10000,10000,2.6719095116573017,2.6793344387612428,-0.007424927103941048,0.005748868968059825,-0.285551011442827,2.96488545020407,7516,8968,0.545654069869119,lazy_exact,,True,
2,1.0,6,0.1,10000,10000,2.6719095116573017,2.711227209531751,-0.03931769787444939,0.006774968949027439,-0.3777526695416302,3.0889798790733813,6854,9041,0.5494127812857162,lazy_exact,,True,
2,1.0,7,0.1,10000,10000,2.6719095116573017,2.6769350655586495,-0.005025553901347735,0.005562505655123779,-0.26958023708779955,2.946515302646449,7637,9020,0.5302783191208835,lazy_exact,,True,
2,1.0,8,0.1,10000,10000,2.6719095116573017,2.6513161190899965,0.02059339256730519,0.005852025935061879,-0.29450529779990653,2.945821416889903,7449,8961,0.5390599689691998,lazy_exact,,True,
2,1.0,9,0.1,10000,10000,2.6719095116573017,2.6929699182936213,-0.021060406636319584,0.006333631992250171,-0.33729257300511684,3.030262491298738,7137,8997,0.5433425026772926,lazy_exact,,True,
4,1.0,0,0.1,10000,10000,5.699281390810998,6.86053791903887,-1.161256528227872,0.01088721583011325,-0.7817598389165497,7.642297757955419,4576,9052,1.4944470516185495,lazy_exact,,True,
4,1.0,1,0.1,10000,10000,5.699281390810998,6.982064018947984,-1.282782628136986,0.010845637665237337,-0.7776163371863962,7.75968035613438,4595,8979,1.4747919654315955,lazy_exact,,True,
4,1.0,2,0.1,10000,10000,5.699281390810998,6.9934367388511465,-1.2941553480401486,0.011787647180222193,-0.8710783890526077,7.864515127903754,4185,8995,1.4777902912652114,lazy_exact,,True,
4,1.0,3,0.1,10000,10000,5.699281390810998,6.856640949288125,-1.1573595584771272,0.012467070290759502,-0.9377697635512803,7.794410712839405,3915,8996,1.5330650456601769,lazy_exact,,True,
4,1.0,4,0.1,10000,10000,5.699281390810998,7.019627005112419,-1.320345614301421,0.011475888411297182,-0.8402560455981583,7.859883050710577,4316,9069,1.5051443509829667,lazy_exact,,True,
4,1.0,5,0.1,10000,10000,5.699281390810998,6.917121293797036,-1.2178399029860385,0.011501653670932975,-0.8428079551143526,7.759929248911389,4305,9017,1.4818631394396007,lazy_exact,,True,
4,1.0,6,0.1,10000,10000,5.699281390810998,7.013407067195873,-1.314125676384875,0.011988498834879898,-0.8908666795339979,7.904273746729871,4103,9023,1.5225539365606555,lazy_exact,,True,
4,1.0,7,0.1,10000,10000,5.699281390810998,6.827746344094631,-1.1284649532836335,0.011362001340252482,-0.8289669037024812,7.6567132477971125,4365,8985,1.4811390966778821,lazy_exact,,True,
4,1.0,8,0.1,10000,10000,5.699281390810998,6.961513949318254,-1.2622325585072565,0.012453996981544781,-0.9364934391916755,7.89800738850993,3920,8965,1.4821899712021542,lazy_exact,,True,
4,1.0,9,0.1,10000,10000,5.699281390810998,6.896494687010247,-1.1972132961992488,0.011454862410014794,-0.8381729526102042,7.734667639620451,4325,9051,1.49352164868296,lazy_exact,,True,
8,1.0,0,0.1,10000,10000,11.770395261149256,15.80327052076181,-4.032875259612554,0.005482328341803358,-0.26279435694400277,16.066064877705813,7689,8960,4.221278598369669,lazy_exact,,False,
8,1.0,1,0.1,10000,10000,11.770395261149256,15.681746155312828,-3.911350894163572,0.005085796309646068,-0.23004229300536672,15.911788448318195,7945,8973,4.178649602755613,lazy_exact,,False,
8,1.0,2,0.1,10000,10000,11.770395261149256,15.73931365945466,-3.968918398305405,0.005095139685935644,-0.23079777025107084,15.970111429705732,7939,9078,4.2181890191608815,lazy_exact,,False,
8,1.0,3,0.1,10000,10000,11.770395261149256,16.195333578466265,-4.424938317317009,0.004813302173920229,-0.2083780991137374,16.403711677580002,8119,9013,4.23955343385611,lazy_exact,,False,
8,1.0,4,0.1,10000,10000,11.770395261149256,16.129087033473933,-4.358691772324677,0.005177547657567818,-0.23749605753861047,16.366583091012544,7886,8983,4.2562834722224085,lazy_exact,,False,
8,1.0,5,0.1,10000,10000,11.770395261149256,16.052918267049126,-4.28252300589987,0.005673421061695621,-0.2790527457537273,16.331971012802853,7565,8992,4.174597031661036,lazy_exact,,False,
8,1.0,6,0.1,10000,10000,11.770395261149256,16.247276763892458,-4.476881502743202,0.005256654699933516,-0.24398421718606222,16.49126098107852,7835,8988,4.231040476915155,lazy_exact,,False,
8,1.0,7,0.1,10000,10000,11.770395261149256,16.03913824250161,-4.268742981352355,0.004806997648656523,-0.2078855489252298,16.24702379142684,8123,9059,4.176997696433816,lazy_exact,,False,
8,1.0,8,0.1,10000,10000,11.770395261149256,15.803815897477005,-4.033420636327749,0.004945250969990467,-0.2187780938045698,16.022593991281575,8035,8979,4.186774371984303,lazy_exact,,False,
8,1.0,9,0.1,10000,10000,11.770395261149256,15.664388566116145,-3.893993304966889,0.005152692543268699,-0.2354692010048467,15.899857767120992,7902,8993,4.197605790753534,lazy_exact,,False,
