dimension,k,seed,significance_level,number_of_ot_points,number_of_monte_carlo_samples,hdr_log_volume,ot_log_volume,log_volume_ratio,log_volume_mc_standard_error,log_inclusion_fraction,log_bounding_box_volume,number_inside,number_of_source_region_points,mean_squared_transport_cost,ot_backend,regularization,solver_converged,sinkhorn_compute_backend
4,2.0,0,0.1,5000,10000,5.699281390810998,7.067949117658343,-1.3686677268473453,0.00824172994646727,-0.5183538901867824,7.5863030078451255,5955,4516,1.6795644642660388,lazy_exact,,True,
4,2.0,1,0.1,5000,10000,5.699281390810998,7.046620039630996,-1.3473386488199983,0.00872636090645579,-0.566162168805457,7.612782208436453,5677,4490,1.6539291252880268,lazy_exact,,True,
4,2.0,2,0.1,5000,10000,5.699281390810998,7.15667713199331,-1.457395741182312,0.009379228369755695,-0.6311117896404941,7.787788921633804,5320,4512,1.6583419383567923,lazy_exact,,True,
4,2.0,3,0.1,5000,10000,5.699281390810998,7.156902227530873,-1.457620836719875,0.010333560124515702,-0.7264971602415002,7.883399387772373,4836,4493,1.7338684765117318,lazy_exact,,True,
4,2.0,4,0.1,5000,10000,5.699281390810998,7.152281021875255,-1.452999631064257,0.009527165521241557,-0.6458819880928317,7.7981630099680865,5242,4471,1.6738781674082477,lazy_exact,,True,
4,2.0,5,0.1,5000,10000,5.699281390810998,7.078025996582845,-1.378744605771847,0.010381262988391995,-0.7312645026730742,7.809290499255919,4813,4494,1.6947622695594668,lazy_exact,,True,
4,2.0,6,0.1,5000,10000,5.699281390810998,7.107370878554907,-1.4080894877439087,0.008581448430346817,-0.5518212444695116,7.659192123024418,5759,4522,1.6948842879564237,lazy_exact,,True,
4,2.0,7,0.1,5000,10000,5.699281390810998,6.7847732385907324,-1.0854918477797346,0.00987083412072629,-0.6802309552933998,7.465004193884132,5065,4499,1.6296385412122256,lazy_exact,,True,
4,2.0,8,0.1,5000,10000,5.699281390810998,6.869838120095144,-1.1705567292841463,0.010195918848570377,-0.7127378303249507,7.582575950420095,4903,4485,1.671631868978436,lazy_exact,,True,
4,2.0,9,0.1,5000,10000,5.699281390810998,7.022851368400886,-1.3235699775898881,0.009172140055331877,-0.6104618139413382,7.633313182342224,5431,4501,1.6842721741795181,lazy_exact,,True,
4,4.0,0,0.1,5000,10000,5.699281390810998,7.177829830825168,-1.47854844001417,0.00811064074957708,-0.5055064622883911,7.683336293113559,6032,4516,2.305751264190021,lazy_exact,,True,
4,4.0,1,0.1,5000,10000,5.699281390810998,6.993487062448084,-1.2942056716370862,0.00921472965439303,-0.614705754253384,7.608192816701468,5408,4490,2.2692383762574946,lazy_exact,,True,
4,4.0,2,0.1,5000,10000,5.699281390810998,7.103403246742429,-1.4041218559314315,0.009912383814932115,-0.6843856748913737,7.787788921633803,5044,4512,2.2866434620657397,lazy_exact,,True,
4,4.0,3,0.1,5000,10000,5.699281390810998,7.127183715085612,-1.4279023242746138,0.009996000799680096,-0.6927472605386189,7.819930975624231,5002,4493,2.3883522884239476,lazy_exact,,True,
