dimension,k,seed,significance_level,number_of_ot_points,number_of_monte_carlo_samples,hdr_log_volume,ot_log_volume,log_volume_ratio,log_volume_mc_standard_error,log_inclusion_fraction,log_bounding_box_volume,number_inside,number_of_source_region_points,mean_squared_transport_cost,ot_backend,regularization,solver_converged,sinkhorn_compute_backend
2,1.0,0,0.1,1000,10000,2.6719095116573017,2.6339103011730867,0.03799921048421506,0.006657399630254842,-0.3668695903488022,3.000779891521889,6929,887,0.5417096025469372,lazy_exact,,True,
2,1.0,1,0.1,1000,10000,2.6719095116573017,2.6917196091982634,-0.019810097540961635,0.006428279803519341,-0.34587631669650776,3.037595925894771,7076,898,0.5244655071853773,lazy_exact,,True,
2,1.0,2,0.1,1000,10000,2.6719095116573017,2.679609517426287,-0.007700005768985108,0.006607383784161222,-0.36226195080751644,3.0418714682338033,6961,892,0.5121404104461915,lazy_exact,,True,
2,1.0,3,0.1,1000,10000,2.6719095116573017,2.828914162320915,-0.15700465066361335,0.006624567313140605,-0.3638434334173457,3.192757595738261,6950,908,0.6483854902502257,lazy_exact,,True,
2,1.0,4,0.1,1000,10000,2.6719095116573017,2.847647122785825,-0.17573761112852315,0.0064158541630437264,-0.344746373073459,3.192393495859284,7084,908,0.6134714586956622,lazy_exact,,True,
2,1.0,5,0.1,1000,10000,2.6719095116573017,2.8169726349913065,-0.14506312333400473,0.006406537563637775,-0.34389975245001025,3.1608723874413167,7090,911,0.5786021838868365,lazy_exact,,True,
2,1.0,6,0.1,1000,10000,2.6719095116573017,2.7545083126104624,-0.08259880095316063,0.006945213581941485,-0.39363535635458824,3.1481436689650506,6746,902,0.5547363512983052,lazy_exact,,True,
2,1.0,7,0.1,1000,10000,2.6719095116573017,2.7230152058972354,-0.05110569423993372,0.006815847002196578,-0.38155328806185196,3.1045684939590874,6828,901,0.551062788142499,lazy_exact,,True,
2,1.0,8,0.1,1000,10000,2.6719095116573017,2.7387570916682877,-0.06684758001098601,0.006908857290174009,-0.39023172746757595,3.1289888191358637,6769,905,0.519866551400329,lazy_exact,,True,
2,1.0,9,0.1,1000,10000,2.6719095116573017,2.699437914064773,-0.02752840240747112,0.006426726377087897,-0.34573500390039946,3.0451729179651723,7077,894,0.5481063414190326,lazy_exact,,True,
4,1.0,0,0.1,1000,10000,5.699281390810998,6.992471586091695,-1.2931901952806975,0.007254319583886047,-0.42281474644327766,7.415286332534973,6552,892,1.6447931437306973,lazy_exact,,True,
4,1.0,1,0.1,1000,10000,5.699281390810998,6.841740982279907,-1.142459591468909,0.0073832068163136155,-0.43509991323785613,7.276840895517763,6472,885,1.5754820370846274,lazy_exact,,True,
4,1.0,2,0.1,1000,10000,5.699281390810998,7.176277819667692,-1.476996428856694,0.006174264892384029,-0.32296388659642083,7.499241706264113,7240,909,1.5679250135053329,lazy_exact,,True,
4,1.0,3,0.1,1000,10000,5.699281390810998,7.085932071289363,-1.3866506804783656,0.006189716184556973,-0.3243460568233729,7.410278128112736,7230,910,1.659222570249397,lazy_exact,,True,
4,1.0,4,0.1,1000,10000,5.699281390810998,7.004666119416985,-1.3053847286059872,0.0064593618886907315,-0.3487067742895569,7.353372893706542,7056,889,1.5967250744755794,lazy_exact,,True,
4,1.0,5,0.1,1000,10000,5.699281390810998,6.950082236494436,-1.2508008456834379,0.005813532789976659,-0.29115476193075374,7.241236998425189,7474,906,1.6838517751075568,lazy_exact,,True,
4,1.0,6,0.1,1000,10000,5.699281390810998,6.628287637759071,-0.9290062469480729,0.0060060748491181795,-0.30802084344731284,6.9363084812063835,7349,894,1.6095629353494614,lazy_exact,,True,
4,1.0,7,0.1,1000,10000,5.699281390810998,6.923678327760191,-1.2243969369491934,0.006940468231608478,-0.3931907472327776,7.316869074992969,6749,889,1.5844589791168713,lazy_exact,,True,
4,1.0,8,0.1,1000,10000,5.699281390810998,6.603227198016745,-0.9039458072057469,0.006516934661652115,-0.3539643352457613,6.957191533262506,7019,894,1.598529031668774,lazy_exact,,True,
4,1.0,9,0.1,1000,10000,5.699281390810998,6.7130665556150095,-1.0137851648040117,0.006464026467160805,-0.3491320347680045,7.062198590383014,7053,905,1.571084232669197,lazy_exact,,True,
8,1.0,0,0.1,1000,10000,11.770395261149256,14.76851883277528,-2.9981235716260244,0.003937018605507917,-0.144101343974258,14.912620176749538,8658,889,4.59713030895354,lazy_exact,,True,
8,1.0,1,0.1,1000,10000,11.770395261149256,14.92674411637859,-3.156348855229334,0.00372588858634908,-0.12999479661618807,15.056738912994778,8781,913,4.611295853892921,lazy_exact,,True,
8,1.0,2,0.1,1000,10000,11.770395261149256,14.726851357903712,-2.956456096754456,0.003513819476230677,-0.11642146301725198,14.843272820920964,8901,916,4.550128991996653,lazy_exact,,True,
8,1.0,3,0.1,1000,10000,11.770395261149256,14.730006067289116,-2.9596108061398603,0.004616823063357541,-0.19322073766295667,14.923226804952073,8243,904,4.693253989965739,lazy_exact,,True,
8,1.0,4,0.1,1000,10000,11.770395261149256,14.527744284625298,-2.757349023476042,0.0035048328892908617,-0.11585988609453679,14.643604170719835,8906,915,4.563193720003996,lazy_exact,,True,
8,1.0,5,0.1,1000,10000,11.770395261149256,14.77243013586126,-3.0020348747120043,0.003465136138563875,-0.11339268735509123,14.885822823216351,8928,908,4.547120182572873,lazy_exact,,True,
8,1.0,6,0.1,1000,10000,11.770395261149256,14.189918285827295,-2.419523024678039,0.003959015014410302,-0.1456039738587922,14.335522259686087,8645,894,4.554774131286129,lazy_exact,,True,
8,1.0,7,0.1,1000,10000,11.770395261149256,14.273623306033635,-2.503228044884379,0.004767546976465271,-0.20481259462948742,14.478435900663122,8148,888,4.425834947686446,lazy_exact,,True,
8,1.0,8,0.1,1000,10000,11.770395261149256,14.503987959221618,-2.7335926980723624,0.0039387126472716335,-0.1442168507604098,14.648204809982028,8657,909,4.54248177221288,lazy_exact,,True,
8,1.0,9,0.1,1000,10000,11.770395261149256,14.286244350291911,-2.5158490891426553,0.003664713773508415,-0.12601684058348717,14.412261190875398,8816,908,4.510104552858915,lazy_exact,,True,
16,1.0,0,0.1,1000,10000,23.823466528715954,29.436343329903234,-5.61287680118728,0.0034542648099430153,-0.1127208700641198,29.549064199967354,8934,894,11.7507988807155,lazy_exact,,True,
16,1.0,1,0.1,1000,10000,23.823466528715954,29.72995053677414,-5.906484008058186,0.003368408416282066,-0.1074738583052337,29.837424395079374,8981,887,11.834682309053271,lazy_exact,,True,
16,1.0,2,0.1,1000,10000,23.823466528715954,29.750899192640453,-5.927432663924499,0.0037571492199972617,-0.13204678092033362,29.882945973560787,8763,894,11.730905765429759,lazy_exact,,True,
16,1.0,3,0.1,1000,10000,23.823466528715954,29.56243219281567,-5.738965664099716,0.003283104443472802,-0.1023650066780295,29.664797199493698,9027,898,11.934640642602194,lazy_exact,,True,
16,1.0,4,0.1,1000,10000,23.823466528715954,29.578349476805823,-5.754882948089868,0.00396239409104874,-0.14583534822354594,29.72418482502937,8643,888,11.760067352836774,lazy_exact,,True,
16,1.0,5,0.1,1000,10000,23.823466528715954,29.605519271784857,-5.782052743068903,0.003426999996396922,-0.11104329879332475,29.71656257057818,8949,901,11.8414130063528,lazy_exact,,True,
16,1.0,6,0.1,1000,10000,23.823466528715954,29.75894808137241,-5.935481552656455,0.0034723728738671033,-0.11384081642376032,29.87278889779617,8924,911,11.900113850941446,lazy_exact,,True,
16,1.0,7,0.1,1000,10000,23.823466528715954,29.577469507238114,-5.754002978522159,0.0034451903597383228,-0.11216136688833167,29.689630874126443,8939,892,11.50297264676575,lazy_exact,,True,
16,1.0,8,0.1,1000,10000,23.823466528715954,29.29754728967954,-5.474080760963584,0.0035959070779368603,-0.12160282175925019,29.41915011143879,8855,895,11.821016532776893,lazy_exact,,True,
16,1.0,9,0.1,1000,10000,23.823466528715954,29.13991678856616,-5.316450259850207,0.0036979881715595614,-0.12817433872350925,29.26809112728967,8797,887,11.69519825887306,lazy_exact,,True,
32,1.0,0,0.1,1000,10000,47.66775554750603,59.282355866698,-11.614600319191965,0.003086911918353971,-0.09101939838716966,59.373375265085166,9130,903,27.143148777312472,lazy_exact,,True,
32,1.0,1,0.1,1000,10000,47.66775554750603,59.31319708328579,-11.64544153577976,0.0034233552204314525,-0.11081983510524474,59.42401691839104,8951,897,27.10807952480151,lazy_exact,,True,
32,1.0,2,0.1,1000,10000,47.66775554750603,59.23665252434517,-11.568896976839135,0.002902514547279672,-0.0808847287404646,59.31753725308563,9223,916,27.091523997414765,lazy_exact,,True,
32,1.0,3,0.1,1000,10000,47.66775554750603,59.997605420112855,-12.329849872606822,0.0031697508337012125,-0.09574027228083715,60.09334569239369,9087,904,27.885424401257936,lazy_exact,,True,
32,1.0,4,0.1,1000,10000,47.66775554750603,59.84040702880069,-12.172651481294658,0.0031773862421018953,-0.09618055847396967,59.93658758727466,9083,904,27.54661725800419,lazy_exact,,True,
32,1.0,5,0.1,1000,10000,47.66775554750603,60.031284273402235,-12.363528725896202,0.003264382210143049,-0.10125783207422856,60.13254210547646,9037,907,27.079554218460533,lazy_exact,,True,
32,1.0,6,0.1,1000,10000,47.66775554750603,59.46320968743507,-11.795454139929035,0.003348128494071186,-0.10624979984271121,59.56945948727778,8992,890,27.505752746456174,lazy_exact,,True,
32,1.0,7,0.1,1000,10000,47.66775554750603,59.398315023020004,-11.73055947551397,0.003443373820284292,-0.112049503808624,59.510364526828624,8940,889,27.074887923314243,lazy_exact,,True,
32,1.0,8,0.1,1000,10000,47.66775554750603,59.46785337491953,-11.800097827413495,0.0035299629993001697,-0.11743309689209624,59.58528647181162,8892,893,27.290446998164395,lazy_exact,,True,
32,1.0,9,0.1,1000,10000,47.66775554750603,58.660698619925405,-10.992943072419372,0.00356569164372165,-0.11968484294598092,58.780383462871384,8872,895,27.14897354087995,lazy_exact,,True,
64,1.0,0,0.1,1000,10000,94.83882393355213,118.14673356434784,-23.307909630795706,0.003162103731853193,-0.09530017985432515,118.24203374420216,9091,907,59.1270527867419,lazy_exact,,True,
64,1.0,1,0.1,1000,10000,94.83882393355213,118.60636133037455,-23.76753739682242,0.003152528267390009,-0.09475033654581111,118.70111166692037,9096,905,58.596592296708046,lazy_exact,,True,
64,1.0,2,0.1,1000,10000,94.83882393355213,118.00732259990778,-23.168498666355646,0.003190720348448118,-0.09695152607645063,118.10427412598423,9076,907,58.82170118152385,lazy_exact,,True,
64,1.0,3,0.1,1000,10000,94.83882393355213,120.20379104852266,-25.364967114970526,0.0032606298543747247,-0.10103654417777186,120.30482759270043,9039,902,59.3373229765151,lazy_exact,,True,
64,1.0,4,0.1,1000,10000,94.83882393355213,119.62722228166592,-24.788398348113788,0.0033518211807957695,-0.10647224451051684,119.73369452617644,8990,903,59.43643702712439,lazy_exact,,True,
64,1.0,5,0.1,1000,10000,94.83882393355213,119.40595580411271,-24.567131870560573,0.0032587526795614104,-0.10092591858996158,119.50688172270267,9040,906,58.77928148224066,lazy_exact,,True,
64,1.0,6,0.1,1000,10000,94.83882393355213,118.94756259553375,-24.10873866198162,0.0028082919005019504,-0.07590959410035047,119.0234721896341,9269,910,59.31349659119341,lazy_exact,,True,
64,1.0,7,0.1,1000,10000,94.83882393355213,118.28748773823392,-23.448663804681786,0.003466946130230856,-0.11350470079682218,118.40099243903074,8927,889,58.97292601414326,lazy_exact,,True,
64,1.0,8,0.1,1000,10000,94.83882393355213,119.21674449742189,-24.37792056386975,0.0031294708904953277,-0.09343194479255423,119.31017644221444,9108,909,58.70250615477452,lazy_exact,,True,
64,1.0,9,0.1,1000,10000,94.83882393355213,118.23528039817663,-23.396456464624492,0.0032961712654360777,-0.10314075891951369,118.33842115709614,9020,902,58.83149194354127,lazy_exact,,True,
