dimension,k,seed,significance_level,number_of_ot_points,number_of_monte_carlo_samples,hdr_log_volume,ot_log_volume,log_volume_ratio,log_volume_mc_standard_error,log_inclusion_fraction,log_bounding_box_volume,number_inside,number_of_source_region_points,mean_squared_transport_cost,ot_backend,regularization,solver_converged
2,2.0,0,0.1,1000,10000,3.0184831019372744,2.863488675570614,0.1549944263666605,0.00574578971896348,-0.2852849478520607,3.1487736234226746,7518,887,1.6972748569590839,sinkhorn,0.1,True
2,2.0,1,0.1,1000,10000,3.0184831019372744,2.866970019126978,0.1515130828102964,0.004987496854648118,-0.222144050981127,3.089114070108105,8008,898,1.519704705624624,sinkhorn,0.1,True
2,2.0,2,0.1,1000,10000,3.0184831019372744,2.8606375588195156,0.15784554311775878,0.004891941773116558,-0.21455553412767792,3.0751930929471936,8069,892,1.5790918392955149,sinkhorn,0.1,True
2,2.0,3,0.1,1000,10000,3.0184831019372744,3.0309946015603826,-0.012511499623108158,0.005039032598602689,-0.22627344432313912,3.2572680458835217,7975,908,1.8235161122999488,sinkhorn,0.1,True
2,2.0,4,0.1,1000,10000,3.0184831019372744,2.984545225997681,0.03393787593959363,0.005357250106176554,-0.25231492861449034,3.236860154612171,7770,908,1.7921543730024387,sinkhorn,0.1,True
2,2.0,5,0.1,1000,10000,3.0184831019372744,3.008254361553946,0.01022874038332855,0.004976551379287915,-0.2212703069325297,3.2295246684864756,8015,911,1.7348501604693767,sinkhorn,0.1,True
2,2.0,6,0.1,1000,10000,3.0184831019372744,2.9130903448243286,0.10539275711294582,0.005539385190672604,-0.26761804141604095,3.1807083862403696,7652,902,1.6618023593388573,sinkhorn,0.1,True
2,2.0,7,0.1,1000,10000,3.0184831019372744,2.880679911270149,0.13780319066712554,0.005256654699933516,-0.24398421718606222,3.124664128456211,7835,901,1.702743385002395,sinkhorn,0.1,True
2,2.0,8,0.1,1000,10000,3.0184831019372744,2.87421684176765,0.14426626016962452,0.005591784094257088,-0.27207122493763514,3.146288066705285,7618,905,1.6103166215033267,sinkhorn,0.1,True
2,2.0,9,0.1,1000,10000,3.0184831019372744,2.8661325778637887,0.1523505240734857,0.005460728048928471,-0.2609752296232184,3.127107807487007,7703,894,1.5509557773139917,sinkhorn,0.1,True
4,2.0,0,0.1,1000,10000,6.739002161650916,7.335398572520472,-0.5963964108695556,0.006168085509415647,-0.3224115529728788,7.65781012549335,7244,892,11.705895983218838,sinkhorn,0.1,True
4,2.0,1,0.1,1000,10000,6.739002161650916,7.281466041648676,-0.5424638799977597,0.006591770755039116,-0.36082640648978526,7.642292448138461,6971,885,11.732654346444026,sinkhorn,0.1,True
4,2.0,2,0.1,1000,10000,6.739002161650916,7.473750690001643,-0.7347485283507273,0.005913626741605663,-0.2998896155595272,7.7736403055611705,7409,909,12.251362661263483,sinkhorn,0.1,True
4,2.0,3,0.1,1000,10000,6.739002161650916,7.420576321452667,-0.6815741598017508,0.005270597456326883,-0.24513356920582652,7.665709890658493,7826,910,11.619952087500268,sinkhorn,0.1,True
4,2.0,4,0.1,1000,10000,6.739002161650916,7.346097986883066,-0.6070958252321503,0.0060060748491181795,-0.30802084344731284,7.654118830330379,7349,889,11.907082555815414,sinkhorn,0.1,True
4,2.0,5,0.1,1000,10000,6.739002161650916,7.456473506244697,-0.7174713445937808,0.005791977947731547,-0.2892833538187549,7.745756860063452,7488,906,12.079835883688649,sinkhorn,0.1,True
4,2.0,6,0.1,1000,10000,6.739002161650916,7.391806040444181,-0.6528038787932653,0.0058705043250120515,-0.29611755127288397,7.687923591717065,7437,894,11.962739823276932,sinkhorn,0.1,True
4,2.0,7,0.1,1000,10000,6.739002161650916,7.568036562567667,-0.8290344009167514,0.006891489343293767,-0.3886079910417415,7.956644553609409,6780,889,11.899935165896999,sinkhorn,0.1,True
4,2.0,8,0.1,1000,10000,6.739002161650916,6.949866331678719,-0.21086417002780333,0.005547092634356165,-0.26827167893195814,7.218138010610677,7647,894,12.265852621432662,sinkhorn,0.1,True
4,2.0,9,0.1,1000,10000,6.739002161650916,7.3920567740143275,-0.6530546123634116,0.005958301353032602,-0.3038114543816661,7.695868228395994,7380,905,11.22903399314376,sinkhorn,0.1,True
8,2.0,0,0.1,1000,10000,14.196410393109064,16.45399352739662,-2.2575831342875556,0.0035317541808846747,-0.11754556385504422,16.571539091251662,8891,889,231.94889246921085,sinkhorn,0.1,True
8,2.0,1,0.1,1000,10000,14.196410393109064,16.393371439737265,-2.1969610466282017,0.004480719717129987,-0.18296176168137812,16.576333201418645,8328,913,225.94373255742542,sinkhorn,0.1,True
