dimension,k,seed,significance_level,number_of_ot_points,number_of_monte_carlo_samples,hdr_log_volume,ot_log_volume,log_volume_ratio,log_volume_mc_standard_error,log_inclusion_fraction,log_bounding_box_volume,number_inside,number_of_source_region_points,mean_squared_transport_cost
8,4.0,0,0.1,10,10000,16.622425525068873,13.717870858623298,2.9045546664455753,0.0,0.0,13.717870858623298,10000,10,76796.79108161277
8,4.0,1,0.1,10,10000,16.622425525068873,12.663647809735224,3.9587777153336496,0.002405519236463442,-0.05625294155079885,12.719900751286023,9453,8,31724.448826725173
8,4.0,2,0.1,10,10000,16.622425525068873,11.497694261898213,5.124731263170661,0.003243711184091484,-0.10004135418022742,11.59773561607844,9048,9,30548.064634918814
8,4.0,3,0.1,10,10000,16.622425525068873,12.039122811109134,4.583302713959739,0.006803262219593972,-0.38038232774070124,12.419505138849836,6836,7,93766.59269754899
8,4.0,4,0.1,10,10000,16.622425525068873,11.245558932750473,5.3768665923184,0.0024676992465448985,-0.059113264492507867,11.304672197242981,9426,6,48072.55491043541
8,4.0,5,0.1,10,10000,16.622425525068873,13.892676025192632,2.7297494998762417,0.0,0.0,13.892676025192632,10000,10,25401.850075066446
8,4.0,6,0.1,10,10000,16.622425525068873,13.204664749731542,3.4177607753373316,0.004143020188930011,-0.15840973674764314,13.363074486479185,8535,9,40957.28631004733
8,4.0,7,0.1,10,10000,16.622425525068873,12.473812508956811,4.148613016112062,0.005194624816493197,-0.23889190828234952,12.712704417239161,7875,8,67965.83020610156
8,4.0,8,0.1,10,10000,16.622425525068873,13.127874795304008,3.4945507297648657,0.0018328047158971922,-0.03303985407820065,13.160914649382208,9675,9,74634.3663493818
8,4.0,9,0.1,10,10000,16.622425525068873,11.862940956971142,4.759484568097731,0.0,0.0,11.862940956971142,10000,10,19078.30234904224
