dimension,k,seed,significance_level,number_of_ot_points,number_of_monte_carlo_samples,hdr_log_volume,ot_log_volume,log_volume_ratio,log_volume_mc_standard_error,log_inclusion_fraction,log_bounding_box_volume,number_inside,number_of_source_region_points,mean_squared_transport_cost
8,4.0,0,0.1,1000,10000,16.622425525068873,19.67453445811981,-3.052108933050935,0.0030085302207925432,-0.08664780672567218,19.76118226484548,9170,889,55528.34530427694
8,4.0,1,0.1,1000,10000,16.622425525068873,19.425047514938527,-2.802621989869653,0.0036576884513660037,-0.12556322297534628,19.55061073791387,8820,913,54124.94753257191
8,4.0,2,0.1,1000,10000,16.622425525068873,19.525006501665224,-2.902580976596351,0.0027979165975845375,-0.07537030702477665,19.60037680869,9274,916,55282.42398072258
8,4.0,3,0.1,1000,10000,16.622425525068873,19.699952904971852,-3.0775273799029783,0.0037102079154518663,-0.12897038129696092,19.82892328626881,8790,904,52970.79555375133
8,4.0,4,0.1,1000,10000,16.622425525068873,19.447390979807036,-2.8249654547381624,0.003512023191456236,-0.11630912240038427,19.56370010220742,8902,915,55843.88827850207
8,4.0,5,0.1,1000,10000,16.622425525068873,19.714162052238063,-3.0917365271691892,0.0033739267329723328,-0.10780795263430676,19.82197000487237,8978,908,57156.999189131515
8,4.0,6,0.1,1000,10000,16.622425525068873,19.080416145058223,-2.4579906199893493,0.004341605289153737,-0.1726881078257172,19.25310425288394,8414,894,57823.389147508715
8,4.0,7,0.1,1000,10000,16.622425525068873,19.46001368639076,-2.837588161321886,0.003572813701370398,-0.12013580123998224,19.58014948763074,8868,888,54948.35212963971
8,4.0,8,0.1,1000,10000,16.622425525068873,19.28700727285495,-2.6645817477860767,0.00331478375508151,-0.10425002137379913,19.39125729422875,9010,909,56034.7140389158
8,4.0,9,0.1,1000,10000,16.622425525068873,19.167998716360728,-2.5455731912918544,0.002857722262196397,-0.07850222815495833,19.246500944515688,9245,908,55765.31791715768
