dimension,k,seed,significance_level,number_of_ot_points,number_of_monte_carlo_samples,hdr_log_volume,ot_log_volume,log_volume_ratio,log_volume_mc_standard_error,log_inclusion_fraction,log_bounding_box_volume,number_inside,number_of_source_region_points,mean_squared_transport_cost
8,4.0,0,0.1,10000,10000,16.622425525068873,20.839704379185207,-4.2172788541163335,0.0045256963785525175,-0.18632957819149354,21.0260339573767,8300,8960,55021.81051873567
8,4.0,1,0.1,10000,10000,16.622425525068873,20.936009623947214,-4.313584098878341,0.004058160904620395,-0.15245212319167756,21.08846174713889,8586,8973,54139.98398782595
8,4.0,2,0.1,10000,10000,16.622425525068873,20.740439795186692,-4.118014270117818,0.005177547657567818,-0.23749605753861047,20.977935852725302,7886,9078,55941.61740829851
8,4.0,3,0.1,10000,10000,16.622425525068873,21.007820523611464,-4.385394998542591,0.004588106390634975,-0.19103944741367762,21.19885997102514,8261,9013,54798.516265940576
8,4.0,4,0.1,10000,10000,16.622425525068873,21.13078285763426,-4.508357332565385,0.0038587181657064487,-0.13880240288045975,21.269585260514717,8704,8983,55626.263346572676
8,4.0,5,0.1,10000,10000,16.622425525068873,20.89050347514219,-4.268077950073316,0.004318809095988585,-0.17102559705210396,21.061529072194293,8428,8992,55024.679020724885
8,4.0,6,0.1,10000,10000,16.622425525068873,21.19045509600058,-4.5680295709317065,0.004289433790705905,-0.16889213648229529,21.359347232482875,8446,8988,54131.40795052677
8,4.0,7,0.1,10000,10000,16.622425525068873,21.071944226153,-4.449518701084127,0.004411353603647503,-0.17781174131612687,21.249755967469127,8371,9059,54133.77410135676
8,4.0,8,0.1,10000,10000,16.622425525068873,20.737336882994555,-4.114911357925681,0.004228808871594265,-0.16452093216844865,20.901857815163005,8483,8979,54818.610332866876
8,4.0,9,0.1,10000,10000,16.622425525068873,20.642240588522846,-4.019815063453972,0.005341788499199491,-0.2510287548037464,20.89326934332659,7780,8993,54760.21984994688
